Economic Sector/Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Transportation,1527.076528,1480.932414,1540.536129,1577.522681,1632.154313,1667.32995,1723.499506,1750.008789,1792.366351,1863.369787,1901.233159,1881.783855,1923.216105,1914.206006,1958.192368,1975.963874,1969.998117,1969.309601,1872.031338,1795.852873,1803.437222,1775.819979,1756.345344,1765.440502,1799.892338,1809.342573,1849.737412,1866.183271
Electricity generation,1875.537005,1871.567818,1886.539355,1962.302414,1987.10259,2003.827119,2076.813504,2142.984903,2229.534239,2243.586719,2349.128411,2309.72425,2325.712713,2356.843517,2389.869513,2455.90474,2399.322906,2465.977133,2412.149675,2195.933089,2312.229639,2209.849661,2070.784485,2088.732365,2088.89422,1949.509412,1857.155032,1778.34546
Industry,1628.55571,1601.087569,1631.549769,1604.889269,1629.785256,1647.961134,1675.436843,1673.020466,1646.623631,1599.204691,1588.81796,1538.519562,1522.119642,1498.074427,1546.506328,1508.356665,1538.440678,1529.040179,1471.589121,1319.18008,1415.461672,1421.243817,1414.981983,1469.527568,1459.276118,1451.166432,1414.134995,1436.454673
Agriculture,534.8598644,534.640267,538.7435762,551.5105657,543.9804447,556.7417817,559.0839023,553.9920879,575.4972942,553.2268806,550.3505406,558.1607614,560.3649734,564.6118518,586.9697043,570.0440667,582.8170298,597.2466302,583.5514042,586.0844577,593.746436,579.216542,563.2432428,572.5703437,569.1836131,585.239496,581.679613,582.1804753
Commercial,426.92848,433.9764088,429.4006681,424.5560766,427.1917688,426.3747847,433.7954795,426.2269432,400.2405421,396.3297407,410.1957145,398.7686315,399.2708638,415.0331448,411.7994055,400.6785299,386.9156283,400.9379812,407.9978578,410.7817327,412.1490867,406.9954416,386.5193109,409.5807679,419.5113215,432.1729652,416.0659812,415.976008
Residential,344.7217702,354.2868465,360.8492098,372.2031429,363.1419738,367.4086996,398.8259743,380.3929989,346.031683,365.7366255,386.5471104,376.7042014,374.0714116,392.563878,380.1570539,370.0383803,333.9282526,355.4750284,363.7631558,354.2990329,355.0053585,348.2700119,305.6364974,356.2930372,376.6081448,349.7085065,326.8632079,330.9464335
U.S. territories,33.32118561,39.12387058,37.31564976,39.0854474,41.47944012,40.42382899,40.24384621,41.83578293,42.23226931,50.00701312,45.73787857,53.14881984,51.89715838,57.92983616,59.5576767,58.05361347,58.90433652,51.98115366,49.51826045,47.23788004,46.5622671,46.02357564,48.45846847,48.07359159,46.62987641,46.63609381,46.63118438,46.63187233
Total,6371.000543,6315.615194,6424.934357,6532.069596,6624.835787,6710.067297,6907.699055,6968.46197,7032.52601,7071.461457,7232.010774,7116.810082,7156.652868,7199.262662,7333.052049,7339.039868,7270.326948,7369.967706,7160.600813,6709.369145,6938.591681,6787.419028,6545.969331,6710.218175,6759.995632,6623.775479,6492.267425,6456.718193
